payment_id,invoice_id,customer_id,payment_date,amount,currency,gateway,gateway_reference,payment_method,payment_status
PAY0254,INV0254,CUST0357,2026-05-23,15489.47,INR,Cashfree,GW-352253,NetBanking,SUCCESS
PAY0255,INV0255,CUST0112,2026-02-02,3695.83,INR,Stripe,GW-235427,Wallet,SUCCESS
PAY0256,INV0256,CUST0176,2026-04-17,63575.63,INR,Cashfree,GW-240101,UPI,SUCCESS
PAY0257,INV0257,CUST0035,2026-02-05,23889.55,INR,Razorpay,GW-563019,Wallet,SUCCESS
PAY0258,INV0258,CUST0357,2026-04-13,20116.5,INR,Cashfree,GW-493557,UPI,SUCCESS
PAY0259,INV0259,CUST0092,2026-05-01,3150.05,INR,Razorpay,GW-492806,Wallet,SUCCESS
PAY0260,INV0260,CUST0373,2026-04-13,24387.94,INR,PayU,GW-429397,Card,SUCCESS
PAY0261,INV0261,CUST0024,2026-02-21,137122.77,INR,Razorpay,GW-594350,Card,SUCCESS
PAY0262,INV0262,CUST0264,2026-02-03,21919.58,INR,Razorpay,GW-256606,UPI,SUCCESS
PAY0263,INV0263,CUST0139,2026-01-06,47329.15,INR,Cashfree,GW-161726,Wallet,SUCCESS
PAY0264,INV0264,CUST0235,2026-04-17,27486.24,INR,Cashfree,GW-551335,NetBanking,SUCCESS
PAY0265,INV0265,CUST0242,2026-03-25,24771.31,INR,Stripe,GW-883075,Wallet,SUCCESS
PAY0266,INV0266,CUST0105,2026-05-05,34558.83,INR,Stripe,GW-642377,UPI,SUCCESS
PAY0267,INV0267,CUST0007,2026-02-25,98275.53,INR,Cashfree,GW-970806,Wallet,SUCCESS
PAY0268,INV0268,CUST0489,2026-05-17,194180.18,INR,Stripe,GW-145871,NetBanking,SUCCESS
PAY0269,INV0269,CUST0100,2026-06-27,122261.01,INR,Stripe,GW-639293,NetBanking,SUCCESS
PAY0270,INV0270,CUST0480,2026-06-20,72199.66,INR,Razorpay,GW-688090,NetBanking,SUCCESS
PAY0271,INV0271,CUST0064,2026-01-26,38099.72,INR,Stripe,GW-212015,UPI,SUCCESS
PAY0272,INV0272,CUST0119,2026-05-09,49091.55,INR,PayU,GW-690649,UPI,SUCCESS
PAY0273,INV0273,CUST0377,2026-01-19,4008.44,INR,PayU,GW-469270,UPI,SUCCESS
PAY0274,INV0274,CUST0312,2026-03-09,54760.9,INR,Stripe,GW-700145,UPI,SUCCESS
PAY0275,INV0275,CUST0242,2026-02-04,8051.17,INR,PayU,GW-998673,Card,SUCCESS
PAY0276,INV0276,CUST0038,2026-02-15,9781.68,INR,PayU,GW-977621,NetBanking,SUCCESS
PAY0277,INV0277,CUST0435,2026-05-25,87502.05,INR,Razorpay,GW-592537,Card,SUCCESS
PAY0278,INV0278,CUST0496,2026-03-23,70645.64,INR,Razorpay,GW-781570,Card,SUCCESS
PAY0279,INV0279,CUST0282,2026-06-11,14317.3,INR,Razorpay,GW-553405,UPI,SUCCESS
PAY0280,INV0280,CUST0462,2026-05-01,4017.37,INR,Stripe,GW-439293,Wallet,SUCCESS
PAY0281,INV0281,CUST0189,2026-02-10,67793.09,INR,Cashfree,GW-374761,UPI,SUCCESS
PAY0282,INV0282,CUST0491,2026-01-09,1597.25,INR,Cashfree,GW-510979,Card,SUCCESS
PAY0283,INV0283,CUST0222,2026-01-10,3201.68,INR,Razorpay,GW-756391,NetBanking,SUCCESS
PAY0284,INV0284,CUST0385,2026-05-14,65102.69,INR,PayU,GW-989404,Wallet,SUCCESS
PAY0285,INV0285,CUST0190,2026-06-09,18449.01,INR,Razorpay,GW-999555,Wallet,SUCCESS
PAY0286,INV0286,CUST0403,2026-02-01,12295.3,INR,Stripe,GW-DUP-0285,UPI,SUCCESS
PAY0287,INV0287,CUST0364,2026-06-21,4195.37,INR,PayU,GW-105812,Card,SUCCESS
PAY0288,INV0288,CUST0099,2026-01-08,8897.32,INR,Cashfree,GW-856303,Wallet,SUCCESS
PAY0289,INV0289,CUST0256,2026-06-11,31429.69,INR,Razorpay,GW-609954,UPI,SUCCESS
PAY0290,INV0290,CUST0327,2026-06-02,186879.35,INR,Razorpay,GW-433130,NetBanking,SUCCESS
PAY0291,INV0291,CUST0281,2026-02-14,113526.36,INR,Razorpay,GW-192260,UPI,SUCCESS
PAY0292,INV0292,CUST0146,2026-06-23,161561.97,INR,Cashfree,GW-833225,Card,SUCCESS
PAY0293,INV0293,CUST0096,2026-03-06,116355.12,INR,Cashfree,GW-825708,UPI,SUCCESS
PAY0294,INV0294,CUST0307,2026-04-30,197650.65,INR,PayU,GW-147284,Wallet,SUCCESS
PAY0295,INV0295,CUST0333,2026-05-29,12266.03,INR,Razorpay,GW-953354,NetBanking,SUCCESS
PAY0296,INV0296,CUST0317,2026-01-16,24427.77,INR,PayU,GW-168450,UPI,SUCCESS
PAY0297,INV0297,CUST0320,2026-04-06,2726.7,INR,Stripe,GW-994913,UPI,SUCCESS
PAY0298,INV0298,CUST0369,2026-04-22,44467.95,INR,PayU,GW-785803,UPI,SUCCESS
PAY0299,INV0299,CUST0213,2026-05-29,3659.99,INR,Cashfree,GW-457386,Card,SUCCESS
PAY0300,INV0300,CUST0459,2026-06-05,15214.19,INR,Razorpay,GW-547562,UPI,SUCCESS
PAY0301,INV0301,CUST0276,2026-04-16,3567.2,INR,Cashfree,GW-767571,Card,SUCCESS
PAY0302,INV0302,CUST0216,2026-06-11,43252.86,INR,Stripe,GW-438762,NetBanking,SUCCESS
PAY0303,INV0303,CUST0351,2026-03-26,18828.92,INR,PayU,GW-657714,NetBanking,SUCCESS
PAY0304,INV0304,CUST0167,2026-05-04,95623.01,INR,Razorpay,GW-975553,UPI,SUCCESS
PAY0305,INV0305,CUST0013,2026-04-05,75946.55,INR,Cashfree,GW-206571,Card,SUCCESS
PAY0306,INV0306,CUST0305,2026-05-06,3512.43,INR,PayU,GW-234896,Wallet,SUCCESS
PAY0307,INV0307,CUST0283,2026-01-14,51345.63,INR,Stripe,GW-373440,Card,SUCCESS
PAY0308,INV0308,CUST0415,2026-02-12,10587.51,INR,PayU,GW-978560,UPI,SUCCESS
PAY0309,INV0309,CUST0134,2026-06-16,3361.44,INR,Cashfree,GW-359449,Wallet,SUCCESS
PAY0310,INV0310,CUST0111,2026-03-13,4570.29,INR,Stripe,GW-491533,UPI,SUCCESS
PAY0311,INV0311,CUST0010,2026-04-19,34629.97,INR,Stripe,GW-DUP-0305,NetBanking,SUCCESS
PAY0312,INV0312,CUST0423,2026-02-01,173161.51,INR,Razorpay,GW-DUP-0306,Wallet,SUCCESS
PAY0313,INV0313,CUST0470,2026-01-18,91204.73,INR,Stripe,GW-250500,Wallet,SUCCESS
PAY0314,INV0314,CUST0392,2026-01-19,61403.4,INR,Cashfree,GW-746657,Card,SUCCESS
PAY0315,INV0315,CUST0319,2026-06-05,9384.65,INR,Cashfree,GW-307221,Wallet,SUCCESS
PAY0316,INV0316,CUST0017,2026-05-29,2505.09,INR,PayU,GW-716176,Card,SUCCESS
PAY0317,INV0317,CUST0007,2026-03-15,2922.25,INR,Stripe,GW-454831,NetBanking,SUCCESS
PAY0318,INV0318,CUST0347,2026-04-09,86065.84,INR,Razorpay,GW-692136,Card,SUCCESS
PAY0319,INV0319,CUST0075,2026-03-30,199489.06,INR,Razorpay,GW-933393,Card,SUCCESS
PAY0320,INV0320,CUST0133,2026-07-01,108467.95,INR,Stripe,GW-104159,NetBanking,SUCCESS
PAY0321,INV0321,CUST0398,2026-06-19,140726.92,INR,Cashfree,GW-348352,Card,SUCCESS
PAY0322,INV0322,CUST0266,2026-05-16,176303.9,INR,Stripe,GW-191681,Card,SUCCESS
PAY0323,INV0323,CUST0256,2026-04-19,79090.86,INR,Razorpay,GW-369406,Card,SUCCESS
PAY0324,INV0324,CUST0147,2026-06-21,3497.7,INR,Cashfree,GW-256127,UPI,SUCCESS
PAY0325,INV0325,CUST0395,2026-03-10,4822.63,INR,Stripe,GW-453985,Wallet,SUCCESS
PAY0326,INV0326,CUST0482,2026-05-02,889.27,INR,PayU,GW-320165,UPI,SUCCESS
PAY0327,INV0327,CUST0335,2026-02-27,1871.84,INR,Stripe,GW-820595,NetBanking,SUCCESS
PAY0328,INV0328,CUST0415,2026-05-06,125593.84,INR,Cashfree,GW-540812,Wallet,SUCCESS
PAY0329,INV0329,CUST0066,2026-01-24,163172.97,INR,PayU,GW-426236,NetBanking,SUCCESS
PAY0330,INV0330,CUST0292,2026-04-06,154690.62,INR,Stripe,GW-491805,UPI,SUCCESS
PAY0331,INV0331,CUST0126,2026-06-13,72935.41,INR,Stripe,GW-995284,NetBanking,SUCCESS
PAY0332,INV0332,CUST0412,2026-04-24,4994.74,INR,Stripe,GW-362258,Wallet,SUCCESS
PAY0333,INV0333,CUST0321,2026-01-15,3536.78,INR,Razorpay,GW-126000,NetBanking,SUCCESS
PAY0334,INV0334,CUST0162,2026-04-06,2411.19,INR,Cashfree,GW-163644,Card,SUCCESS
PAY0335,INV0335,CUST0205,2026-04-25,112630.02,INR,Razorpay,GW-277360,UPI,SUCCESS
PAY0336,INV0336,CUST0177,2026-02-07,24764.81,INR,Stripe,GW-DUP-0332,UPI,SUCCESS
PAY0337,INV0337,CUST0076,2026-02-02,14243.4,INR,Cashfree,GW-982444,NetBanking,SUCCESS
PAY0338,INV0338,CUST0219,2026-03-04,3587.13,INR,Razorpay,GW-852843,Wallet,SUCCESS
PAY0339,INV0339,CUST0387,2026-03-11,2851.95,INR,Razorpay,GW-609142,Card,SUCCESS
PAY0340,INV0340,CUST0441,2026-03-02,40391.78,INR,Razorpay,GW-612452,Card,SUCCESS
PAY0341,INV0341,CUST0075,2026-04-24,69497.81,INR,Cashfree,GW-514560,NetBanking,SUCCESS
PAY0342,INV0342,CUST0059,2026-01-22,124401.11,INR,Cashfree,GW-984478,Wallet,SUCCESS
PAY0343,INV0343,CUST0375,2026-01-11,86750.03,INR,Razorpay,GW-570352,NetBanking,SUCCESS
PAY0344,INV0344,CUST0401,2026-04-16,76470.17,INR,PayU,GW-288438,NetBanking,SUCCESS
PAY0345,INV0345,CUST0278,2026-02-19,176273.22,INR,Cashfree,GW-337943,Wallet,SUCCESS
PAY0346,INV0346,CUST0019,2026-03-21,23098.14,INR,Razorpay,GW-641365,UPI,SUCCESS
PAY0347,INV0347,CUST0213,2026-02-10,171371.15,INR,PayU,GW-957545,UPI,SUCCESS
PAY0348,INV0348,CUST0025,2026-06-05,58914.36,INR,PayU,GW-650318,Card,SUCCESS
PAY0349,INV0349,CUST0061,2026-03-28,1336.5,INR,Razorpay,GW-DUP-0343,Wallet,SUCCESS
PAY0350,INV0350,CUST0011,2026-03-17,19074.74,INR,PayU,GW-988946,UPI,SUCCESS
PAY0351,INV0351,CUST0500,2026-04-29,70124.9,INR,Cashfree,GW-274477,Card,SUCCESS
PAY0352,INV0352,CUST0348,2026-01-04,1115.07,INR,Cashfree,GW-699552,NetBanking,SUCCESS
PAY0353,INV0353,CUST0130,2026-02-01,61443.3,INR,Razorpay,GW-327582,Card,SUCCESS
PAY0354,INV0354,CUST0275,2026-06-12,105372.26,INR,Stripe,GW-661921,NetBanking,SUCCESS
PAY0355,INV0355,CUST0045,2026-05-06,14579.87,INR,PayU,GW-569040,NetBanking,SUCCESS
PAY0356,INV0356,CUST0050,2026-06-17,120103.35,INR,Stripe,GW-341794,UPI,SUCCESS
PAY0357,INV0357,CUST0137,2026-02-13,106877.3,INR,PayU,GW-947585,UPI,SUCCESS
PAY0358,INV0358,CUST0032,2026-04-25,11445.87,INR,PayU,GW-811789,Wallet,SUCCESS
PAY0359,INV0359,CUST0196,2026-04-09,174890.36,INR,PayU,GW-787573,Card,SUCCESS
PAY0360,INV0360,CUST0224,2026-03-17,23134.81,INR,Razorpay,GW-DUP-0359,Card,SUCCESS
PAY0361,INV0361,CUST0198,2026-06-13,45524.93,INR,PayU,GW-673901,Wallet,SUCCESS
PAY0362,INV0362,CUST0105,2026-06-19,4429.92,INR,Razorpay,GW-309139,NetBanking,SUCCESS
PAY0363,INV0363,CUST0370,2026-01-29,4321.17,INR,PayU,GW-928453,NetBanking,SUCCESS
PAY0364,INV0364,CUST0262,2026-03-26,123477.61,INR,Cashfree,GW-817784,Card,SUCCESS
PAY0365,INV0365,CUST0459,2026-02-13,18880.38,INR,Stripe,GW-278529,NetBanking,SUCCESS
PAY0366,INV0366,CUST0016,2026-04-23,8836.65,INR,Cashfree,GW-348981,Wallet,SUCCESS
PAY0367,INV0367,CUST0464,2026-03-29,37324.67,INR,Stripe,GW-342244,UPI,SUCCESS
PAY0368,INV0368,CUST0485,2026-03-25,106043.51,INR,Razorpay,GW-531058,Wallet,SUCCESS
PAY0369,INV0369,CUST0170,2026-04-15,2411.31,INR,Stripe,GW-903837,UPI,SUCCESS
PAY0370,INV0370,CUST0050,2026-01-12,77794.24,INR,Razorpay,GW-684780,Card,SUCCESS
PAY0371,INV0371,CUST0231,2026-05-28,2035.99,INR,PayU,GW-897451,UPI,SUCCESS
PAY0372,INV0372,CUST0217,2026-04-08,65174.03,INR,PayU,GW-432056,Wallet,SUCCESS
PAY0373,INV0373,CUST0383,2026-04-24,31884.5,INR,Razorpay,GW-937533,Wallet,SUCCESS
PAY0374,INV0374,CUST0387,2026-01-08,14186.74,INR,PayU,GW-352436,Card,FAILED
PAY0375,INV0375,CUST0306,2026-04-02,1388.32,INR,Cashfree,GW-802146,Card,SUCCESS
PAY0376,INV0376,CUST0007,2026-03-30,2403.51,INR,Razorpay,GW-465528,Card,SUCCESS
PAY0377,INV0377,CUST0110,2026-04-04,133266.2,INR,Razorpay,GW-996416,NetBanking,SUCCESS
PAY0378,INV0378,CUST0404,2026-06-07,3166.92,INR,Stripe,GW-465618,Card,SUCCESS
PAY0379,INV0379,CUST0410,2026-04-19,21415.38,INR,Razorpay,GW-385914,Wallet,SUCCESS
PAY0380,INV0380,CUST0247,2026-07-01,40949.69,INR,Stripe,GW-DUP-0374,Card,SUCCESS
PAY0381,INV0381,CUST0175,2026-02-25,105148.2,INR,Stripe,GW-450518,Card,SUCCESS
PAY0382,INV0382,CUST0493,2026-06-30,6971.68,INR,Stripe,GW-988347,Wallet,SUCCESS
PAY0383,INV0383,CUST0328,2026-01-28,7183.05,INR,Cashfree,GW-714026,UPI,SUCCESS
PAY0384,INV0384,CUST0375,2026-06-03,156092.11,INR,Razorpay,GW-980878,UPI,SUCCESS
PAY0385,INV0385,CUST0115,2026-06-28,67699.65,INR,Cashfree,GW-353625,Wallet,SUCCESS
PAY0386,INV0386,CUST0123,2026-01-25,1688.98,INR,PayU,GW-467975,NetBanking,SUCCESS
PAY0387,INV0387,CUST0435,2026-05-03,3399.06,INR,Razorpay,GW-766613,Wallet,SUCCESS
PAY0388,INV0388,CUST0403,2026-06-17,54692.14,INR,Cashfree,GW-543422,UPI,SUCCESS
PAY0389,INV0389,CUST0051,2026-02-26,104212.33,INR,PayU,GW-618268,UPI,SUCCESS
PAY0390,INV0390,CUST0266,2026-06-30,74971.18,INR,Stripe,GW-791160,Card,SUCCESS
PAY0391,INV0391,CUST0072,2026-04-25,1032.54,INR,Stripe,GW-DUP-0387,Wallet,SUCCESS
PAY0392,INV0392,CUST0341,2026-04-05,15955.75,INR,Razorpay,GW-498795,NetBanking,SUCCESS
PAY0393,INV0393,CUST0282,2026-05-16,6584.57,INR,PayU,GW-711616,Card,SUCCESS
PAY0394,INV0394,CUST0378,2026-03-07,2708.86,INR,Razorpay,GW-233636,Card,FAILED
PAY0395,INV0395,CUST0371,2026-02-21,9152.57,INR,Cashfree,GW-386422,NetBanking,SUCCESS
PAY0396,INV0396,CUST0328,2026-06-07,42334.68,INR,Cashfree,GW-536522,Wallet,FAILED
PAY0397,INV0397,CUST0048,2026-04-05,64079.94,INR,Cashfree,GW-317159,Card,SUCCESS
PAY0398,INV0398,CUST0208,2026-03-13,3602.53,INR,PayU,GW-118855,UPI,SUCCESS
PAY0399,INV0399,CUST0157,2026-01-27,77581.54,INR,PayU,GW-DUP-0392,UPI,SUCCESS
PAY0400,INV0400,CUST0459,2026-06-29,182256.25,INR,Cashfree,GW-432236,Card,SUCCESS
PAY0401,INV0401,CUST0425,2026-05-31,180857.34,INR,Stripe,GW-533054,NetBanking,SUCCESS
PAY0402,INV0402,CUST0187,2026-02-15,66644.44,INR,Stripe,GW-931346,NetBanking,SUCCESS
PAY0403,INV0403,CUST0448,2026-03-21,119814.69,INR,Stripe,GW-516884,Wallet,FAILED
PAY0404,INV0404,CUST0061,2026-05-23,46730.9,INR,Stripe,GW-934213,Card,SUCCESS
PAY0405,INV0405,CUST0072,2026-01-05,126867.81,INR,Stripe,GW-DUP-0396,UPI,SUCCESS
PAY0406,INV0406,CUST0185,2026-06-05,87008.44,INR,PayU,GW-581071,NetBanking,SUCCESS
PAY0407,INV0407,CUST0237,2026-01-27,4101.3,INR,Razorpay,GW-DUP-0406,UPI,SUCCESS
PAY0408,INV0408,CUST0495,2026-02-12,3050.81,INR,Cashfree,GW-649293,Card,SUCCESS
PAY0409,INV0409,CUST0398,2026-02-06,52723.37,INR,PayU,GW-244995,NetBanking,SUCCESS
PAY0410,INV0410,CUST0230,2026-02-17,17208.7,INR,Cashfree,GW-170128,Card,SUCCESS
PAY0411,INV0411,CUST0179,2026-03-14,43749.76,INR,Cashfree,GW-286339,NetBanking,SUCCESS
PAY0412,INV0412,CUST0168,2026-02-14,3477.75,INR,PayU,GW-848654,Wallet,SUCCESS
PAY0413,INV0413,CUST0229,2026-05-22,164256.73,INR,PayU,GW-DUP-0405,UPI,SUCCESS
PAY0414,INV0414,CUST0248,2026-02-16,125864.49,INR,PayU,GW-751473,Card,FAILED
PAY0415,INV0415,CUST0245,2026-01-18,19979.36,INR,Cashfree,GW-982782,Card,FAILED
PAY0416,INV0416,CUST0277,2026-02-18,57622.43,INR,PayU,GW-770323,Wallet,SUCCESS
PAY0417,INV0417,CUST0316,2026-02-12,3467.2,INR,PayU,GW-987587,NetBanking,SUCCESS
PAY0418,INV0418,CUST0308,2026-01-06,7216.73,INR,Cashfree,GW-408123,Wallet,SUCCESS
PAY0419,INV0419,CUST0056,2026-02-08,13552.57,INR,PayU,GW-570769,UPI,SUCCESS
PAY0420,INV0420,CUST0447,2026-05-27,6957.41,INR,Cashfree,GW-287284,UPI,SUCCESS
PAY0421,INV0421,CUST0493,2026-02-16,6444.26,INR,Razorpay,GW-489645,Card,SUCCESS
PAY0422,INV0422,CUST0182,2026-01-16,17634.39,INR,Cashfree,GW-820247,Wallet,SUCCESS
PAY0423,INV0423,CUST0458,2026-06-15,3094.97,INR,Razorpay,GW-378169,UPI,SUCCESS
PAY0424,INV0424,CUST0344,2026-06-03,864.94,INR,PayU,GW-659431,Wallet,SUCCESS
PAY0425,INV0425,CUST0130,2026-06-16,114215.14,INR,PayU,GW-326813,UPI,SUCCESS
PAY0426,INV0426,CUST0009,2026-02-09,20156.36,INR,Stripe,GW-408604,Card,SUCCESS
PAY0427,INV0427,CUST0338,2026-05-09,4966.44,INR,Razorpay,GW-152148,NetBanking,SUCCESS
PAY0428,INV0428,CUST0481,2026-03-11,2718.19,INR,Cashfree,GW-248228,UPI,SUCCESS
PAY0429,INV0429,CUST0011,2026-02-14,82232.94,INR,Cashfree,GW-514339,NetBanking,SUCCESS
PAY0430,INV0430,CUST0370,2026-03-16,141927.43,INR,Cashfree,GW-689457,Card,SUCCESS
PAY0431,INV0431,CUST0475,2026-01-18,81701.35,INR,Stripe,GW-436807,Card,SUCCESS
PAY0432,INV0432,CUST0140,2026-02-18,53552.09,INR,Cashfree,GW-809270,Card,SUCCESS
PAY0433,INV0433,CUST0309,2026-02-06,1777.5,INR,Razorpay,GW-298945,Card,SUCCESS
PAY0434,INV0434,CUST0019,2026-04-18,3711.22,INR,Razorpay,GW-499749,UPI,SUCCESS
PAY0435,INV0435,CUST0064,2026-01-19,159820.15,INR,Razorpay,GW-803479,Card,SUCCESS
PAY0436,INV0436,CUST0194,2026-06-01,108637.06,INR,Stripe,GW-567792,Wallet,SUCCESS
PAY0437,INV0437,CUST0436,2026-03-17,18140.27,INR,Cashfree,GW-727873,NetBanking,SUCCESS
PAY0438,INV0438,CUST0442,2026-06-22,29968.76,INR,Razorpay,GW-270138,Card,SUCCESS
PAY0439,INV0439,CUST0426,2026-06-23,18884.56,INR,Cashfree,GW-631215,NetBanking,SUCCESS
PAY0440,INV0440,CUST0288,2026-01-31,148860.81,INR,Razorpay,GW-921864,Wallet,SUCCESS
PAY0441,INV0441,CUST0371,2026-02-07,7248.76,INR,Razorpay,GW-189525,Wallet,SUCCESS
PAY0442,INV0442,CUST0418,2026-05-11,190318.94,INR,Stripe,GW-978785,Wallet,SUCCESS
PAY0443,INV0443,CUST0197,2026-04-18,61230.65,INR,Stripe,GW-224973,Card,SUCCESS
PAY0444,INV0444,CUST0163,2026-06-04,21943.33,INR,Razorpay,GW-389577,UPI,SUCCESS
PAY0445,INV0445,CUST0491,2026-02-19,2952.37,INR,Stripe,GW-359454,Wallet,SUCCESS
PAY0446,INV0446,CUST0445,2026-04-02,143699.79,INR,Razorpay,GW-931374,UPI,SUCCESS
PAY0447,INV0447,CUST0017,2026-05-29,10993.7,INR,PayU,GW-623736,Wallet,SUCCESS
PAY0448,INV0448,CUST0329,2026-02-08,123024.7,INR,Stripe,GW-622189,UPI,REFUNDED
PAY0449,INV0449,CUST0421,2026-01-14,196882.81,INR,Cashfree,GW-112220,NetBanking,SUCCESS
PAY0450,INV0450,CUST0108,2026-01-26,159043.96,INR,Stripe,GW-971270,Card,SUCCESS
PAY0451,INV0451,CUST0446,2026-01-24,88034.04,INR,PayU,GW-444489,Card,SUCCESS
PAY0452,INV0452,CUST0145,2026-04-24,26880.78,INR,Stripe,GW-572524,Card,SUCCESS
PAY0453,INV0453,CUST0125,2026-02-25,29018.7,INR,PayU,GW-755268,NetBanking,SUCCESS
PAY0454,INV0454,CUST0012,2026-01-19,50113.92,INR,Cashfree,GW-655618,Wallet,SUCCESS
PAY0455,INV0455,CUST0425,2026-02-13,72296.93,INR,Cashfree,GW-230313,Wallet,SUCCESS
PAY0456,INV0456,CUST0340,2026-01-28,59872.73,INR,Cashfree,GW-796415,UPI,SUCCESS
PAY0457,INV0457,CUST0163,2026-05-04,3623.7,INR,Stripe,GW-273912,Wallet,SUCCESS
PAY0458,INV0458,CUST0437,2026-04-02,54190.88,INR,PayU,GW-139786,UPI,SUCCESS
PAY0459,INV0459,CUST0131,2026-05-12,129220.59,INR,Stripe,GW-640981,Card,SUCCESS
PAY0460,INV0460,CUST0040,2026-06-25,37711.97,INR,Cashfree,GW-218640,UPI,SUCCESS
PAY0461,INV0461,CUST0144,2026-02-10,10363.81,INR,Razorpay,GW-598829,Wallet,SUCCESS
PAY0462,INV0462,CUST0054,2026-06-22,2394.0,INR,Razorpay,GW-905015,Wallet,SUCCESS
PAY0463,INV0463,CUST0152,2026-03-01,45717.34,INR,Cashfree,GW-213554,NetBanking,SUCCESS
PAY0464,INV0464,CUST0358,2026-05-29,1644.39,INR,Stripe,GW-913572,Wallet,SUCCESS
PAY0465,INV0465,CUST0017,2026-02-07,105198.62,INR,PayU,GW-207138,NetBanking,SUCCESS
PAY0466,INV0466,CUST0251,2026-03-12,10358.1,INR,Cashfree,GW-233864,UPI,SUCCESS
PAY0467,INV0467,CUST0395,2026-04-05,41566.52,INR,Stripe,GW-529094,Wallet,SUCCESS
PAY0468,INV0468,CUST0357,2026-06-20,19841.83,INR,Razorpay,GW-201916,Card,SUCCESS
PAY0469,INV0469,CUST0426,2026-04-26,195177.09,INR,Razorpay,GW-947668,Wallet,SUCCESS
PAY0470,INV0470,CUST0179,2026-04-13,3049.58,INR,Stripe,GW-669441,NetBanking,SUCCESS
PAY0471,INV0471,CUST0144,2026-06-20,168530.95,INR,PayU,GW-185845,Card,SUCCESS
PAY0472,INV0472,CUST0100,2026-04-10,67066.02,INR,Cashfree,GW-535814,UPI,SUCCESS
PAY0473,INV0473,CUST0228,2026-05-03,2661.61,INR,PayU,GW-862663,Wallet,SUCCESS
PAY0474,INV0474,CUST0489,2026-03-06,2832.45,INR,PayU,GW-986287,Card,SUCCESS
PAY0475,INV0475,CUST0299,2026-06-29,13146.41,INR,Stripe,GW-314881,UPI,SUCCESS
PAY0476,INV0476,CUST0025,2026-05-17,5410.64,INR,Razorpay,GW-963390,NetBanking,SUCCESS
PAY0477,INV0477,CUST0227,2026-04-24,13898.66,INR,Cashfree,GW-258226,NetBanking,SUCCESS
PAY0478,INV0478,CUST0076,2026-01-19,38226.09,INR,Cashfree,GW-849946,Card,SUCCESS
PAY0479,INV0479,CUST0155,2026-04-28,22798.81,INR,Stripe,GW-989816,NetBanking,SUCCESS
PAY0480,INV0480,CUST0352,2026-06-07,55946.25,INR,PayU,GW-966787,NetBanking,SUCCESS
PAY0481,INV0481,CUST0030,2026-03-17,50878.84,INR,Stripe,GW-DUP-0477,NetBanking,SUCCESS
PAY0482,INV0482,CUST0447,2026-06-25,90431.67,INR,Stripe,GW-721794,UPI,SUCCESS
PAY0483,INV0483,CUST0278,2026-03-12,4494.48,INR,PayU,GW-964190,Card,SUCCESS
PAY0484,INV0484,CUST0205,2026-01-18,38147.49,INR,PayU,GW-485026,UPI,SUCCESS
PAY0485,INV0485,CUST0207,2026-03-28,20810.73,INR,Cashfree,GW-390302,Wallet,SUCCESS
PAY0486,INV0486,CUST0128,2026-05-26,8914.65,INR,PayU,GW-786682,Card,SUCCESS
PAY0487,INV0487,CUST0140,2026-03-30,193974.68,INR,Razorpay,GW-568343,UPI,SUCCESS
PAY0488,INV0488,CUST0310,2026-01-25,1947.81,INR,PayU,GW-346646,Card,SUCCESS
PAY0489,INV0489,CUST0430,2026-01-26,7362.42,INR,Razorpay,GW-719475,Card,SUCCESS
PAY0490,INV0490,CUST0415,2026-01-10,1028.66,INR,PayU,GW-238789,NetBanking,SUCCESS
PAY0491,INV0491,CUST0330,2026-03-04,132116.9,INR,PayU,GW-DUP-0481,Wallet,SUCCESS
PAY0492,INV0492,CUST0190,2026-06-13,49323.27,INR,PayU,GW-939246,NetBanking,SUCCESS
PAY0493,INV0493,CUST0308,2026-01-12,24159.14,INR,Stripe,GW-267939,Card,REFUNDED
PAY0494,INV0494,CUST0345,2026-04-13,1936.73,INR,Razorpay,GW-DUP-0484,Card,SUCCESS
PAY0495,INV0495,CUST0088,2026-05-16,109427.81,INR,Razorpay,GW-369021,Wallet,SUCCESS
PAY0496,INV0496,CUST0369,2026-02-17,130076.6,INR,Cashfree,GW-916386,Card,SUCCESS
PAY0497,INV0497,CUST0237,2026-01-26,12311.83,INR,Cashfree,GW-163469,Wallet,FAILED
PAY0498,INV0498,CUST0371,2026-04-07,7091.53,INR,Cashfree,GW-352781,Wallet,SUCCESS
PAY0499,INV0499,CUST0145,2026-01-16,2997.41,INR,PayU,GW-649132,UPI,SUCCESS
PAY0500,INV0500,CUST0307,2026-05-01,60358.77,INR,Cashfree,GW-612319,Card,SUCCESS
